iter	Passed	Remaining
413	3072	4349
414	3078	4339
415	3084	4330
416	3090	4320
417	3095	4310
418	3101	4300
419	3106	4289
420	3111	4279
421	3117	4269
422	3122	4259
423	3128	4250
424	3134	4241
425	3140	4230
426	3145	4221
427	3151	4211
428	3156	4201
429	3163	4193
430	3169	4184
431	3176	4176
432	3182	4167
433	3189	4159
434	3196	4151
435	3201	4141
436	3208	4134
437	3215	4125
438	3222	4117
439	3228	4108
440	3233	4099
441	3240	4090
442	3245	4081
443	3252	4072
444	3259	4065
445	3265	4056
446	3271	4047
447	3276	4037
448	3282	4028
449	3289	4020
450	3295	4011
451	3300	4001
452	3306	3992
453	3312	3983
454	3317	3973
455	3322	3963
456	3328	3954
457	3333	3944
458	3339	3935
459	3345	3926
460	3351	3918
461	3357	3909
462	3363	3901
463	3370	3893
464	3375	3883
465	3381	3874
466	3387	3866
467	3393	3857
468	3400	3850
469	3407	3842
470	3414	3835
471	3420	3826
472	3427	3818
473	3434	3811
474	3443	3806
475	3450	3798
476	3457	3790
477	3464	3782
478	3470	3774
479	3476	3766
480	3482	3757
481	3490	3750
482	3496	3742
483	3502	3733
484	3509	3726
485	3515	3718
486	3522	3710
487	3530	3704
488	3537	3697
489	3545	3689
490	3551	3681
491	3559	3675
492	3566	3667
493	3573	3660
494	3579	3652
495	3586	3644
496	3593	3636
497	3599	3628
498	3605	3619
499	3611	3611
500	3618	3604
501	3625	3596
502	3632	3588
503	3639	3581
504	3645	3572
505	3651	3564
506	3657	3556
507	3663	3548
508	3670	3540
509	3676	3532
510	3683	3524
511	3689	3516
512	3695	3508
513	3702	3500
514	3708	3492
515	3715	3485
516	3723	3478
517	3731	3471
518	3737	3464
519	3744	3456
520	3751	3448
521	3757	3441
522	3765	3433
523	3771	3426
524	3778	3418
525	3785	3411
526	3792	3403
527	3799	3396
528	3806	3388
529	3812	3381
530	3819	3373
531	3825	3365
532	3832	3357
533	3838	3350
534	3846	3342
535	3852	3335
536	3859	3327
537	3865	3319
538	3872	3311
539	3878	3304
540	3884	3296
541	3892	3288
542	3898	3280
543	3905	3273
544	3912	3266
545	3919	3258
546	3926	3251
547	3932	3243
548	3940	3236
549	3947	3229
550	3954	3222
551	3961	3215
552	3968	3208
553	3975	3200
554	3981	3192
555	3986	3183
556	3992	3175
557	3998	3167
558	4005	3159
559	4011	3152
560	4017	3143
561	4023	3135
562	4029	3127
563	4035	3119
564	4042	3112
565	4047	3103
566	4053	3095
567	4058	3087
568	4064	3078
569	4070	3070
570	4076	3062
571	4081	3054
572	4089	3047
573	4095	3039
574	4101	3031
575	4107	3023
576	4113	3015
577	4119	3007
578	4125	3000
579	4132	2992
