iter	Tweedie:variance_power=1.35
401	169211.9826
402	169210.8681
403	169209.9165
404	169209.101
405	169208.0675
406	169207.4223
407	169206.5801
408	169205.4869
409	169204.9165
410	169204.3146
411	169203.828
412	169203.2264
413	169202.5452
414	169201.6207
415	169200.9036
416	169200.3052
417	169199.6026
418	169198.943
419	169198.2722
420	169197.7456
421	169197.0894
422	169196.3903
423	169195.7656
424	169195.2692
425	169194.7184
426	169193.8914
427	169193.4448
428	169192.7521
429	169192.1487
430	169191.4207
431	169190.8469
432	169190.4945
433	169190.1224
434	169189.5921
435	169189.2645
436	169188.8916
437	169188.3847
438	169188.065
439	169187.594
440	169187.237
441	169186.9494
442	169186.6576
443	169186.1042
444	169185.7003
445	169185.2826
446	169184.8484
447	169184.5896
448	169184.1245
449	169183.5161
450	169183.1591
451	169182.7439
452	169182.4498
453	169182.1336
454	169181.798
455	169181.3599
456	169181.0233
457	169180.7603
458	169180.3987
459	169180.0252
460	169179.7637
461	169179.2616
462	169178.7085
463	169178.306
464	169177.8355
465	169177.5573
466	169177.2733
467	169176.9352
468	169176.5827
469	169176.0583
470	169175.7574
471	169175.324
472	169174.7822
473	169174.4925
474	169174.2134
475	169173.8872
476	169173.545
477	169173.2725
478	169172.9949
479	169172.685
480	169172.4388
481	169172.2016
482	169171.8834
483	169171.6238
484	169171.281
485	169170.9431
486	169170.6473
487	169170.2938
488	169169.9386
489	169169.7186
490	169169.4608
491	169169.115
492	169168.8361
493	169168.4289
494	169168.1897
495	169168.0031
496	169167.7704
497	169167.5675
498	169167.2829
499	169167.0559
500	169166.8019
501	169166.5863
502	169166.3363
503	169166.0146
504	169165.8338
505	169165.5577
506	169165.2817
507	169164.8701
508	169164.6081
509	169164.4193
510	169164.1987
511	169164.0153
512	169163.7954
513	169163.5529
514	169163.2641
515	169163.0691
516	169162.7645
517	169162.4374
518	169162.1651
519	169161.9216
520	169161.6803
521	169161.4537
522	169161.1735
523	169160.8936
524	169160.7236
525	169160.4412
526	169160.285
527	169159.923
528	169159.5795
529	169159.3654
530	169159.1473
531	169159.0403
532	169158.7357
533	169158.5444
534	169158.3416
535	169158.1437
536	169157.9022
537	169157.6376
538	169157.3946
539	169157.1065
540	169156.87
541	169156.6783
542	169156.4537
543	169156.2876
544	169156.0466
545	169155.9276
546	169155.6266
547	169155.3877
548	169155.1768
549	169154.9644
550	169154.736
551	169154.6431
552	169154.4328
553	169154.268
554	169154.0171
555	169153.7826
556	169153.5611
557	169153.2515
558	169153.0165
559	169152.8274
560	169152.5581
561	169152.3849
562	169152.2566
563	169152.1016
564	169151.9375
565	169151.6892
566	169151.5706
567	169151.3618
568	169151.1366
569	169150.8978
570	169150.6377
571	169150.415
572	169150.1977
573	169150.0154
574	169149.8602
575	169149.6469
576	169149.4885
577	169149.3444
578	169149.194
579	169148.9884
580	169148.8448
581	169148.5754
582	169148.305
583	169148.1999
584	169148.0902
585	169147.9066
586	169147.6534
587	169147.5597
588	169147.3444
589	169147.1974
590	169147.0158
591	169146.835
592	169146.6205
593	169146.4439
594	169146.2906
595	169146.1602
596	169146.032
597	169145.8891
598	169145.6674
599	169145.5544
600	169145.3946
601	169145.2128
602	169145.0545
603	169144.8821
604	169144.6685
605	169144.5369
606	169144.3086
607	169144.1038
608	169143.9664
609	169143.7264
610	169143.6127
611	169143.5112
612	169143.3451
613	169143.2013
614	169143.0112
615	169142.8711
616	169142.728
617	169142.6212
618	169142.5091
619	169142.379
620	169142.2175
621	169142.0798
622	169141.9254
623	169141.7959
624	169141.6945
625	169141.5715
626	169141.4652
627	169141.3331
628	169141.1569
629	169140.9598
630	169140.8002
631	169140.6882
632	169140.5243
633	169140.4091
634	169140.2706
635	169140.1015
636	169139.9195
637	169139.8117
638	169139.7134
639	169139.5839
640	169139.4781
641	169139.2837
642	169139.1267
643	169139.0139
644	169138.7873
645	169138.6174
646	169138.5174
647	169138.3547
648	169138.2396
649	169138.1505
650	169137.9731
651	169137.8851
652	169137.7653
653	169137.68
654	169137.5558
655	169137.4058
656	169137.2574
657	169137.1222
658	169136.9993
659	169136.8613
660	169136.7116
661	169136.6059
662	169136.5078
663	169136.3917
664	169136.1357
665	169136.007
666	169135.8961
667	169135.7644
668	169135.6591
669	169135.5546
670	169135.4574
671	169135.3279
672	169135.2191
673	169135.093
674	169134.9845
675	169134.8955
676	169134.8012
677	169134.6656
678	169134.4504
679	169134.3284
680	169134.1865
681	169134.0986
682	169133.9681
683	169133.8612
684	169133.7102
685	169133.5897
686	169133.4483
687	169133.3435
688	169133.2233
689	169133.081
690	169132.9314
691	169132.7714
692	169132.5592
693	169132.4792
694	169132.3741
695	169132.2334
696	169132.0925
697	169132.0097
698	169131.8738
699	169131.7277
700	169131.6147
701	169131.5053
702	169131.3496
703	169131.2654
704	169131.1716
705	169131.0529
706	169130.9748
707	169130.8732
708	169130.7974
709	169130.5779
710	169130.4415
711	169130.3686
712	169130.2709
713	169130.1099
714	169130.0047
715	169129.8962
716	169129.7623
717	169129.6508
718	169129.5451
719	169129.4128
720	169129.2849
721	169129.1678
722	169129.0443
723	169128.8704
724	169128.7431
725	169128.6654
726	169128.5621
727	169128.4584
728	169128.3341
729	169128.2483
730	169128.1239
731	169128.0391
732	169127.9231
733	169127.7971
734	169127.6662
735	169127.5651
736	169127.4538
737	169127.3346
738	169127.2494
739	169127.1409
740	169127.0529
741	169126.9431
742	169126.8461
743	169126.7323
744	169126.646
745	169126.5708
746	169126.416
747	169126.3041
748	169126.1833
749	169126.1124
750	169126.0148
751	169125.9101
752	169125.7873
753	169125.655
754	169125.4988
755	169125.4098
756	169125.2813
757	169125.2095
758	169125.11
759	169124.9708
760	169124.8555
761	169124.7438
762	169124.6305
763	169124.5393
764	169124.4671
765	169124.388
766	169124.2838
767	169124.1827
768	169124.06
769	169123.9822
770	169123.8288
771	169123.7541
772	169123.6776
773	169123.6205
774	169123.5383
775	169123.4543
776	169123.3952
777	169123.2995
778	169123.2314
779	169123.0987
780	169123.0314
781	169122.9749
782	169122.898
783	169122.8328
784	169122.7332
785	169122.6437
786	169122.5223
787	169122.4417
788	169122.3023
789	169122.2133
790	169122.1343
791	169122.0717
792	169121.9642
793	169121.9024
794	169121.8452
795	169121.7217
796	169121.6584
797	169121.581
798	169121.4872
799	169121.3912
800	169121.3147
801	169121.1669
802	169121.0758
803	169120.9711
804	169120.9124
805	169120.8226
806	169120.7388
807	169120.6652
808	169120.5761
809	169120.445
810	169120.3829
811	169120.2929
812	169120.1976
813	169120.112
814	169119.9835
815	169119.8558
816	169119.7652
817	169119.6442
818	169119.5667
819	169119.4571
820	169119.3514
821	169119.2493
822	169119.1913
823	169119.096
824	169119.0369
825	169118.9715
826	169118.8949
827	169118.8326
828	169118.7462
829	169118.6717
830	169118.6041
831	169118.5321
832	169118.4041
833	169118.3313
834	169118.2576
835	169118.1828
836	169118.0938
837	169117.9006
838	169117.8526
839	169117.8138
840	169117.7502
841	169117.6529
842	169117.5806
843	169117.4887
844	169117.4058
845	169117.3228
846	169117.2339
847	169117.1255
848	169117.0486
849	169116.956
850	169116.8595
851	169116.7605
852	169116.6832
853	169116.6326
854	169116.5689
855	169116.5043
856	169116.4398
857	169116.3921
858	169116.294
859	169116.2355
860	169116.1855
861	169116.1183
862	169116.0315
863	169115.9247
864	169115.8195
865	169115.7371
866	169115.6478
867	169115.5757
868	169115.4949
869	169115.3486
870	169115.29
871	169115.2144
872	169115.1308
873	169115.056
874	169114.9651
875	169114.8988
876	169114.8176
877	169114.706
878	169114.6377
879	169114.5218
880	169114.4615
881	169114.3769
882	169114.3008
883	169114.2508
884	169114.1972
885	169114.1576
886	169114.0521
887	169113.9893
888	169113.914
889	169113.8415
890	169113.7697
891	169113.6796
892	169113.6243
893	169113.5574
894	169113.4799
895	169113.4139
896	169113.3135
897	169113.2188
898	169113.1252
899	169113.0406
900	169112.9349
901	169112.8708
902	169112.8379
903	169112.7349
904	169112.6785
905	169112.6195
906	169112.5664
907	169112.5202
908	169112.4431
909	169112.3729
910	169112.2986
911	169112.2232
912	169112.1743
913	169112.1399
914	169112.0419
915	169111.9518
916	169111.9017
917	169111.8271
918	169111.7565
919	169111.6459
920	169111.5635
921	169111.5153
922	169111.4527
923	169111.3833
924	169111.3454
925	169111.2663
926	169111.232
927	169111.178
928	169111.1186
929	169111.0833
930	169111.0318
931	169110.9552
932	169110.8894
933	169110.824
934	169110.7596
935	169110.6902
936	169110.6335
937	169110.5901
938	169110.532
939	169110.4716
940	169110.3998
941	169110.3155
942	169110.2545
943	169110.2184
944	169110.1455
945	169110.1044
946	169110.0035
947	169109.9439
948	169109.9016
949	169109.8329
950	169109.7509
951	169109.6453
952	169109.592
953	169109.4812
954	169109.4244
955	169109.3663
956	169109.3094
957	169109.2504
958	169109.1941
959	169109.1046
960	169109.0701
961	169109.0131
962	169108.9736
963	169108.9199
964	169108.8531
965	169108.7923
966	169108.7494
967	169108.7166
968	169108.6382
969	169108.5882
970	169108.5267
971	169108.4587
972	169108.386
973	169108.3264
974	169108.258
975	169108.1755
976	169108.0919
977	169108.0245
978	169107.9816
979	169107.8732
980	169107.8083
981	169107.7362
982	169107.6699
983	169107.5986
984	169107.5281
985	169107.4841
986	169107.424
987	169107.3714
988	169107.3152
989	169107.264
990	169107.2036
991	169107.1457
992	169107.0693
993	169107.0297
994	169106.9521
995	169106.9102
996	169106.8496
997	169106.764
998	169106.7129
999	169106.652
